Interaction ID,Customer ID,Channel,Happiness Score,Agent,Interaction_Count
INT310272,US00015856,Email,Very Unhappy,Kate,3
INT310273,US00015856,Email,Happy,Javier,3
INT310274,US00015856,Email,Very Happy,Kate,3
INT310275,US00015856,SMS,Unhappy,,2
INT310276,US00015856,SMS,Unhappy,,2
INT310277,US00015856,Self-Service,Very Happy,,3
INT310278,US00015856,Self-Service,Very Happy,,3
INT310279,US00015856,Self-Service,Very Unhappy,,3
INT310280,US00015856,Case,Happy,Ashley,1
INT310281,US00015856,IVR,Very Unhappy,,1
INT310282,US00015857,Phone,Very Happy,Kate,3
INT310283,US00015857,Phone,Unhappy,Kate,3
INT310284,US00015857,Phone,Very Happy,Kate,3
INT310285,US00015857,Email,Unhappy,Ashley,3
INT310286,US00015857,Email,Very Happy,Kate,3
INT310287,US00015857,Email,Unhappy,Kate,3
INT310288,US00015857,SMS,Happy,,2
INT310289,US00015857,SMS,Very Happy,,2
INT310290,US00015857,Self-Service,Neutral,,3
INT310291,US00015857,Self-Service,Happy,,3
INT310292,US00015857,Self-Service,Very Happy,,3
INT310293,US00015857,Case,Unhappy,Javier,2
INT310294,US00015857,Case,Happy,Ashley,2
INT310295,US00015857,IVR,Unhappy,,3
INT310296,US00015857,IVR,Happy,,3
INT310297,US00015857,IVR,Very Happy,,3
INT310298,US00015858,Phone,Neutral,Ashley,2
INT310299,US00015858,Phone,Neutral,Ashley,2
INT310300,US00015858,Email,Very Happy,Kate,3
INT310301,US00015858,Email,Very Happy,Javier,3
INT310302,US00015858,Email,Neutral,Ashley,3
INT310303,US00015858,SMS,Very Happy,,3
INT310304,US00015858,SMS,Very Happy,,3
INT310305,US00015858,SMS,Very Happy,,3
INT310306,US00015858,Self-Service,Very Happy,,2
INT310307,US00015858,Self-Service,Very Unhappy,,2
INT310308,US00015858,Case,Happy,Javier,3
INT310309,US00015858,Case,Happy,Ashley,3
INT310310,US00015858,Case,Very Happy,Javier,3
INT310311,US00015858,IVR,Happy,,1
INT310312,US00015859,Phone,Very Unhappy,Ashley,3
INT310313,US00015859,Phone,Very Unhappy,Ashley,3
INT310314,US00015859,Phone,Very Unhappy,Javier,3
INT310315,US00015859,Email,Neutral,Ashley,3
INT310316,US00015859,Email,Happy,Ashley,3
INT310317,US00015859,Email,Neutral,Kate,3
INT310318,US00015859,SMS,Unhappy,,2
INT310319,US00015859,SMS,Very Happy,,2
INT310320,US00015859,Self-Service,Very Happy,,1
INT310321,US00015859,Case,Neutral,Ashley,1
INT310322,US00015859,IVR,Unhappy,,2
INT310323,US00015859,IVR,Happy,,2
INT310324,US00015860,Phone,Unhappy,Javier,2
INT310325,US00015860,Phone,Very Happy,Kate,2
INT310326,US00015860,Email,Very Happy,Ashley,2
INT310327,US00015860,Email,Very Happy,Kate,2
INT310328,US00015860,SMS,Very Unhappy,,1
INT310329,US00015860,Self-Service,Neutral,,1
INT310330,US00015860,Case,Happy,Kate,2
INT310331,US00015860,Case,Happy,Javier,2
INT310332,US00015860,IVR,Very Unhappy,,3
INT310333,US00015860,IVR,Very Unhappy,,3
INT310334,US00015860,IVR,Very Happy,,3
INT310335,US00015861,Phone,Neutral,Javier,3
INT310336,US00015861,Phone,Happy,Ashley,3
INT310337,US00015861,Phone,Very Happy,Ashley,3
INT310338,US00015861,Email,Happy,Kate,2
INT310339,US00015861,Email,Happy,Ashley,2
INT310340,US00015861,SMS,Neutral,,3
INT310341,US00015861,SMS,Unhappy,,3
INT310342,US00015861,SMS,Very Happy,,3
INT310343,US00015861,Self-Service,Happy,,2
INT310344,US00015861,Self-Service,Neutral,,2
INT310345,US00015861,Case,Happy,Ashley,2
INT310346,US00015861,Case,Neutral,Ashley,2
INT310347,US00015861,IVR,Very Happy,,2
INT310348,US00015861,IVR,Very Happy,,2
INT310349,US00015862,Phone,Neutral,Ashley,1
INT310350,US00015862,Email,Very Unhappy,Ashley,3
INT310351,US00015862,Email,Neutral,Kate,3
INT310352,US00015862,Email,Very Unhappy,Javier,3
INT310353,US00015862,SMS,Happy,,1
INT310354,US00015862,Self-Service,Happy,,2
INT310355,US00015862,Self-Service,Very Happy,,2
INT310356,US00015862,Case,Happy,Javier,3
INT310357,US00015862,Case,Unhappy,Javier,3
INT310358,US00015862,Case,Neutral,Javier,3
INT310359,US00015862,IVR,Neutral,,1
INT310360,US00015863,Phone,Happy,Javier,3
INT310361,US00015863,Phone,Happy,Javier,3
INT310362,US00015863,Phone,Very Happy,Kate,3
INT310363,US00015863,Email,Unhappy,Ashley,3
INT310364,US00015863,Email,Very Unhappy,Ashley,3
INT310365,US00015863,Email,Unhappy,Ashley,3
INT310366,US00015863,SMS,Very Unhappy,,1
INT310367,US00015863,Self-Service,Happy,,1
INT310368,US00015863,Case,Neutral,Ashley,2
INT310369,US00015863,Case,Unhappy,Javier,2
INT310370,US00015863,IVR,Neutral,,3
INT310371,US00015863,IVR,Happy,,3
INT310372,US00015863,IVR,Happy,,3
INT310373,US00015864,Phone,Very Unhappy,Javier,3
INT310374,US00015864,Phone,Very Happy,Ashley,3
INT310375,US00015864,Phone,Very Happy,Javier,3
INT310376,US00015864,Email,Unhappy,Ashley,2
INT310377,US00015864,Email,Very Unhappy,Javier,2
INT310378,US00015864,SMS,Neutral,,3
INT310379,US00015864,SMS,Unhappy,,3
INT310380,US00015864,SMS,Unhappy,,3
INT310381,US00015864,Self-Service,Happy,,3
INT310382,US00015864,Self-Service,Very Happy,,3
INT310383,US00015864,Self-Service,Neutral,,3
INT310384,US00015864,Case,Unhappy,Ashley,2
INT310385,US00015864,Case,Unhappy,Kate,2
INT310386,US00015864,IVR,Neutral,,3
INT310387,US00015864,IVR,Very Happy,,3
INT310388,US00015864,IVR,Neutral,,3
INT310389,US00015865,Phone,Very Unhappy,Kate,2
INT310390,US00015865,Phone,Very Happy,Kate,2
INT310391,US00015865,Email,Unhappy,Javier,1
INT310392,US00015865,SMS,Happy,,3
INT310393,US00015865,SMS,Happy,,3
INT310394,US00015865,SMS,Happy,,3
INT310395,US00015865,Self-Service,Neutral,,2
INT310396,US00015865,Self-Service,Happy,,2
INT310397,US00015865,Case,Happy,Javier,3
INT310398,US00015865,Case,Unhappy,Kate,3
INT310399,US00015865,Case,Very Happy,Javier,3
INT310400,US00015865,IVR,Very Happy,,3
INT310401,US00015865,IVR,Neutral,,3
INT310402,US00015865,IVR,Happy,,3
INT310403,US00015866,Phone,Very Happy,Ashley,2
INT310404,US00015866,Phone,Unhappy,Javier,2
INT310405,US00015866,Email,Unhappy,Javier,2
INT310406,US00015866,Email,Neutral,Kate,2
INT310407,US00015866,SMS,Very Happy,,2
INT310408,US00015866,SMS,Happy,,2
INT310409,US00015866,Self-Service,Very Happy,,1
INT310410,US00015866,Case,Happy,Kate,3
INT310411,US00015866,Case,Happy,Javier,3
INT310412,US00015866,Case,Very Happy,Kate,3
INT310413,US00015866,IVR,Very Happy,,2
INT310414,US00015866,IVR,Unhappy,,2
INT310415,US00015867,Phone,Neutral,Ashley,1
INT310416,US00015867,Email,Very Unhappy,Javier,3
INT310417,US00015867,Email,Neutral,Javier,3
INT310418,US00015867,Email,Very Happy,Javier,3
INT310419,US00015867,SMS,Neutral,,1
INT310420,US00015867,Self-Service,Unhappy,,1
INT310421,US00015867,Case,Unhappy,Javier,2
INT310422,US00015867,Case,Happy,Kate,2
INT310423,US00015867,IVR,Very Happy,,2
INT310424,US00015867,IVR,Unhappy,,2
INT310425,US00015868,Phone,Neutral,Kate,1
INT310426,US00015868,Email,Very Happy,Javier,3
INT310427,US00015868,Email,Unhappy,Kate,3
INT310428,US00015868,Email,Very Unhappy,Kate,3
INT310429,US00015868,SMS,Unhappy,,1
INT310430,US00015868,Self-Service,Unhappy,,2
INT310431,US00015868,Self-Service,Very Happy,,2
INT310432,US00015868,Case,Unhappy,Kate,2
INT310433,US00015868,Case,Unhappy,Kate,2
INT310434,US00015868,IVR,Very Happy,,2
INT310435,US00015868,IVR,Neutral,,2
INT310436,US00015869,Phone,Neutral,Ashley,2
INT310437,US00015869,Phone,Neutral,Ashley,2
INT310438,US00015869,Email,Neutral,Kate,1
INT310439,US00015869,SMS,Very Unhappy,,1
INT310440,US00015869,Self-Service,Neutral,,1
INT310441,US00015869,Case,Very Happy,Kate,3
INT310442,US00015869,Case,Happy,Ashley,3
INT310443,US00015869,Case,Neutral,Kate,3
INT310444,US00015869,IVR,Very Happy,,3
INT310445,US00015869,IVR,Neutral,,3
INT310446,US00015869,IVR,Happy,,3
INT310447,US00015870,Phone,Unhappy,Kate,2
INT310448,US00015870,Phone,Happy,Ashley,2
INT310449,US00015870,Email,Very Unhappy,Javier,2
INT310450,US00015870,Email,Very Unhappy,Javier,2
INT310451,US00015870,SMS,Happy,,2
INT310452,US00015870,SMS,Neutral,,2
INT310453,US00015870,Self-Service,Very Unhappy,,2
INT310454,US00015870,Self-Service,Very Happy,,2
INT310455,US00015870,Case,Happy,Javier,2
INT310456,US00015870,Case,Happy,Ashley,2
INT310457,US00015870,IVR,Neutral,,2
INT310458,US00015870,IVR,Very Happy,,2
INT310459,US00015871,Phone,Neutral,Kate,3
INT310460,US00015871,Phone,Happy,Javier,3
INT310461,US00015871,Phone,Very Unhappy,Javier,3
INT310462,US00015871,Email,Happy,Javier,1
INT310463,US00015871,SMS,Unhappy,,1
INT310464,US00015871,Self-Service,Neutral,,1
INT310465,US00015871,Case,Very Happy,Kate,3
INT310466,US00015871,Case,Very Happy,Kate,3
INT310467,US00015871,Case,Unhappy,Ashley,3
INT310468,US00015871,IVR,Very Happy,,1
INT310469,US00015872,Phone,Neutral,Ashley,3
INT310470,US00015872,Phone,Very Happy,Kate,3
INT310471,US00015872,Phone,Neutral,Kate,3
INT310472,US00015872,Email,Very Happy,Javier,2
INT310473,US00015872,Email,Very Happy,Ashley,2
INT310474,US00015872,SMS,Very Happy,,1
INT310475,US00015872,Self-Service,Unhappy,,2
INT310476,US00015872,Self-Service,Unhappy,,2
INT310477,US00015872,Case,Neutral,Kate,1
INT310478,US00015872,IVR,Unhappy,,3
INT310479,US00015872,IVR,Neutral,,3
INT310480,US00015872,IVR,Unhappy,,3
INT310481,US00015873,Phone,Happy,Kate,3
INT310482,US00015873,Phone,Very Unhappy,Ashley,3
INT310483,US00015873,Phone,Very Happy,Ashley,3
INT310484,US00015873,Email,Unhappy,Kate,1
INT310485,US00015873,SMS,Happy,,1
INT310486,US00015873,Self-Service,Very Happy,,3
INT310487,US00015873,Self-Service,Happy,,3
INT310488,US00015873,Self-Service,Very Happy,,3
INT310489,US00015873,Case,Happy,Kate,3
INT310490,US00015873,Case,Happy,Ashley,3
INT310491,US00015873,Case,Neutral,Javier,3
INT310492,US00015873,IVR,Neutral,,3
INT310493,US00015873,IVR,Neutral,,3
INT310494,US00015873,IVR,Happy,,3
INT310495,US00015874,Phone,Very Happy,Kate,2
INT310496,US00015874,Phone,Happy,Kate,2
INT310497,US00015874,Email,Happy,Ashley,3
INT310498,US00015874,Email,Unhappy,Kate,3
INT310499,US00015874,Email,Very Happy,Javier,3
INT310500,US00015874,SMS,Unhappy,,2
INT310501,US00015874,SMS,Very Happy,,2
INT310502,US00015874,Self-Service,Very Happy,,2
INT310503,US00015874,Self-Service,Unhappy,,2
INT310504,US00015874,Case,Unhappy,Javier,1
INT310505,US00015874,IVR,Neutral,,1
INT310506,US00015875,Phone,Unhappy,Ashley,1
INT310507,US00015875,Email,Happy,Kate,1
INT310508,US00015875,SMS,Happy,,1
INT310509,US00015875,Self-Service,Neutral,,3
INT310510,US00015875,Self-Service,Neutral,,3
INT310511,US00015875,Self-Service,Neutral,,3
INT310512,US00015875,Case,Very Happy,Kate,1
INT310513,US00015875,IVR,Very Happy,,3
INT310514,US00015875,IVR,Unhappy,,3
INT310515,US00015875,IVR,Happy,,3
INT310516,US00015876,Phone,Very Happy,Javier,2
INT310517,US00015876,Phone,Very Unhappy,Kate,2
INT310518,US00015876,Email,Happy,Ashley,2
INT310519,US00015876,Email,Happy,Kate,2
INT310520,US00015876,SMS,Happy,,2
INT310521,US00015876,SMS,Happy,,2
INT310522,US00015876,Self-Service,Very Unhappy,,3
INT310523,US00015876,Self-Service,Unhappy,,3
INT310524,US00015876,Self-Service,Happy,,3
INT310525,US00015876,Case,Happy,Javier,1
INT310526,US00015876,IVR,Neutral,,3
INT310527,US00015876,IVR,Unhappy,,3
INT310528,US00015876,IVR,Happy,,3
INT310529,US00015877,Phone,Happy,Javier,3
INT310530,US00015877,Phone,Very Happy,Kate,3
INT310531,US00015877,Phone,Happy,Kate,3
INT310532,US00015877,Email,Neutral,Ashley,2
INT310533,US00015877,Email,Very Happy,Kate,2
INT310534,US00015877,SMS,Very Happy,,3
INT310535,US00015877,SMS,Neutral,,3
INT310536,US00015877,SMS,Happy,,3
INT310537,US00015877,Self-Service,Very Happy,,1
INT310538,US00015877,Case,Very Unhappy,Ashley,3
INT310539,US00015877,Case,Neutral,Javier,3
INT310540,US00015877,Case,Happy,Kate,3
INT310541,US00015877,IVR,Very Happy,,3
INT310542,US00015877,IVR,Unhappy,,3
INT310543,US00015877,IVR,Happy,,3
INT310544,US00015878,Phone,Happy,Ashley,1
INT310545,US00015878,Email,Neutral,Javier,1
INT310546,US00015878,SMS,Happy,,2
INT310547,US00015878,SMS,Very Unhappy,,2
INT310548,US00015878,Self-Service,Happy,,1
INT310549,US00015878,Case,Very Happy,Ashley,1
INT310550,US00015878,IVR,Very Happy,,2
INT310551,US00015878,IVR,Happy,,2
INT310552,US00015879,Phone,Unhappy,Kate,2
INT310553,US00015879,Phone,Happy,Javier,2
INT310554,US00015879,Email,Very Happy,Kate,3
INT310555,US00015879,Email,Happy,Javier,3
INT310556,US00015879,Email,Very Happy,Kate,3
INT310557,US00015879,SMS,Neutral,,2
INT310558,US00015879,SMS,Neutral,,2
INT310559,US00015879,Self-Service,Unhappy,,2
INT310560,US00015879,Self-Service,Unhappy,,2
INT310561,US00015879,Case,Very Happy,Javier,1
INT310562,US00015879,IVR,Very Happy,,1
INT310563,US00015880,Phone,Neutral,Kate,2
INT310564,US00015880,Phone,Unhappy,Ashley,2
INT310565,US00015880,Email,Happy,Javier,2
INT310566,US00015880,Email,Very Happy,Ashley,2
INT310567,US00015880,SMS,Very Happy,,3
INT310568,US00015880,SMS,Happy,,3
INT310569,US00015880,SMS,Happy,,3
INT310570,US00015880,Self-Service,Very Happy,,2
INT310571,US00015880,Self-Service,Neutral,,2
INT310572,US00015880,Case,Very Happy,Ashley,3
INT310573,US00015880,Case,Unhappy,Ashley,3
INT310574,US00015880,Case,Neutral,Ashley,3
INT310575,US00015880,IVR,Happy,,2
INT310576,US00015880,IVR,Happy,,2
INT310577,US00015881,Phone,Very Unhappy,Ashley,2
INT310578,US00015881,Phone,Happy,Javier,2
INT310579,US00015881,Email,Very Happy,Ashley,3
INT310580,US00015881,Email,Unhappy,Kate,3
INT310581,US00015881,Email,Very Happy,Kate,3
INT310582,US00015881,SMS,Very Happy,,2
INT310583,US00015881,SMS,Happy,,2
INT310584,US00015881,Self-Service,Very Happy,,2
INT310585,US00015881,Self-Service,Neutral,,2
INT310586,US00015881,Case,Very Happy,Ashley,3
INT310587,US00015881,Case,Unhappy,Ashley,3
INT310588,US00015881,Case,Happy,Kate,3
INT310589,US00015881,IVR,Neutral,,2
INT310590,US00015881,IVR,Happy,,2
INT310591,US00015882,Phone,Unhappy,Javier,2
INT310592,US00015882,Phone,Neutral,Javier,2
INT310593,US00015882,Email,Happy,Javier,1
INT310594,US00015882,SMS,Neutral,,1
INT310595,US00015882,Self-Service,Happy,,3
INT310596,US00015882,Self-Service,Happy,,3
INT310597,US00015882,Self-Service,Unhappy,,3
INT310598,US00015882,Case,Very Happy,Kate,3
INT310599,US00015882,Case,Very Happy,Ashley,3
INT310600,US00015882,Case,Very Happy,Javier,3
INT310601,US00015882,IVR,Unhappy,,2
INT310602,US00015882,IVR,Very Happy,,2
INT310603,US00015883,Phone,Very Happy,Javier,2
INT310604,US00015883,Phone,Happy,Javier,2
INT310605,US00015883,Email,Neutral,Javier,3
INT310606,US00015883,Email,Neutral,Ashley,3
INT310607,US00015883,Email,Happy,Kate,3
INT310608,US00015883,SMS,Neutral,,1
INT310609,US00015883,Self-Service,Happy,,1
INT310610,US00015883,Case,Neutral,Javier,2
INT310611,US00015883,Case,Happy,Ashley,2
INT310612,US00015883,IVR,Unhappy,,2
INT310613,US00015883,IVR,Neutral,,2
INT310614,US00015884,Phone,Neutral,Ashley,1
INT310615,US00015884,Email,Very Unhappy,Kate,2
INT310616,US00015884,Email,Unhappy,Javier,2
INT310617,US00015884,SMS,Happy,,3
INT310618,US00015884,SMS,Very Happy,,3
INT310619,US00015884,SMS,Happy,,3
INT310620,US00015884,Self-Service,Neutral,,3
INT310621,US00015884,Self-Service,Neutral,,3
INT310622,US00015884,Self-Service,Neutral,,3
INT310623,US00015884,Case,Neutral,Ashley,1
INT310624,US00015884,IVR,Very Happy,,3
INT310625,US00015884,IVR,Very Happy,,3
INT310626,US00015884,IVR,Happy,,3
INT310627,US00015885,Phone,Very Happy,Javier,2
INT310628,US00015885,Phone,Happy,Kate,2
INT310629,US00015885,Email,Happy,Javier,1
INT310630,US00015885,SMS,Very Unhappy,,1
INT310631,US00015885,Self-Service,Neutral,,2
INT310632,US00015885,Self-Service,Unhappy,,2
INT310633,US00015885,Case,Unhappy,Kate,3
INT310634,US00015885,Case,Happy,Ashley,3
INT310635,US00015885,Case,Unhappy,Kate,3
INT310636,US00015885,IVR,Neutral,,3
INT310637,US00015885,IVR,Unhappy,,3
INT310638,US00015885,IVR,Very Happy,,3
INT310639,US00015886,Phone,Very Happy,Javier,3
INT310640,US00015886,Phone,Happy,Ashley,3
INT310641,US00015886,Phone,Neutral,Kate,3
INT310642,US00015886,Email,Very Unhappy,Ashley,1
INT310643,US00015886,SMS,Unhappy,,3
INT310644,US00015886,SMS,Neutral,,3
INT310645,US00015886,SMS,Unhappy,,3
INT310646,US00015886,Self-Service,Very Happy,,3
INT310647,US00015886,Self-Service,Happy,,3
INT310648,US00015886,Self-Service,Very Unhappy,,3
INT310649,US00015886,Case,Neutral,Javier,2
INT310650,US00015886,Case,Happy,Javier,2
INT310651,US00015886,IVR,Neutral,,3
INT310652,US00015886,IVR,Very Happy,,3
INT310653,US00015886,IVR,Neutral,,3
INT310654,US00015887,Phone,Neutral,Ashley,2
INT310655,US00015887,Phone,Happy,Kate,2
INT310656,US00015887,Email,Very Unhappy,Javier,3
INT310657,US00015887,Email,Very Unhappy,Kate,3
INT310658,US00015887,Email,Very Happy,Javier,3
INT310659,US00015887,SMS,Happy,,2
INT310660,US00015887,SMS,Neutral,,2
INT310661,US00015887,Self-Service,Happy,,3
INT310662,US00015887,Self-Service,Neutral,,3
INT310663,US00015887,Self-Service,Neutral,,3
INT310664,US00015887,Case,Happy,Ashley,3
INT310665,US00015887,Case,Very Happy,Ashley,3
INT310666,US00015887,Case,Unhappy,Ashley,3
INT310667,US00015887,IVR,Happy,,3
INT310668,US00015887,IVR,Happy,,3
INT310669,US00015887,IVR,Happy,,3
INT310670,US00015888,Phone,Very Happy,Kate,2
INT310671,US00015888,Phone,Happy,Javier,2
INT310672,US00015888,Email,Happy,Kate,2
INT310673,US00015888,Email,Very Happy,Ashley,2
INT310674,US00015888,SMS,Happy,,3
INT310675,US00015888,SMS,Neutral,,3
INT310676,US00015888,SMS,Very Unhappy,,3
INT310677,US00015888,Self-Service,Very Happy,,1
INT310678,US00015888,Case,Happy,Javier,3
INT310679,US00015888,Case,Neutral,Ashley,3
INT310680,US00015888,Case,Happy,Kate,3
INT310681,US00015888,IVR,Happy,,3
INT310682,US00015888,IVR,Happy,,3
INT310683,US00015888,IVR,Unhappy,,3
INT310684,US00015889,Phone,Happy,Ashley,3
INT310685,US00015889,Phone,Neutral,Kate,3
INT310686,US00015889,Phone,Neutral,Javier,3
INT310687,US00015889,Email,Happy,Javier,2
INT310688,US00015889,Email,Neutral,Kate,2
INT310689,US00015889,SMS,Very Happy,,3
INT310690,US00015889,SMS,Neutral,,3
INT310691,US00015889,SMS,Very Happy,,3
INT310692,US00015889,Self-Service,Happy,,3
INT310693,US00015889,Self-Service,Neutral,,3
INT310694,US00015889,Self-Service,Happy,,3
INT310695,US00015889,Case,Very Happy,Javier,1
INT310696,US00015889,IVR,Very Unhappy,,1
INT310697,US00015890,Phone,Happy,Javier,2
INT310698,US00015890,Phone,Unhappy,Javier,2
INT310699,US00015890,Email,Happy,Kate,2
INT310700,US00015890,Email,Very Unhappy,Ashley,2
INT310701,US00015890,SMS,Neutral,,2
INT310702,US00015890,SMS,Unhappy,,2
INT310703,US00015890,Self-Service,Neutral,,2
INT310704,US00015890,Self-Service,Very Happy,,2
INT310705,US00015890,Case,Unhappy,Kate,3
INT310706,US00015890,Case,Happy,Javier,3
INT310707,US00015890,Case,Very Unhappy,Javier,3
INT310708,US00015890,IVR,Neutral,,1
INT310709,US00015891,Phone,Neutral,Kate,2
INT310710,US00015891,Phone,Very Happy,Javier,2
INT310711,US00015891,Email,Neutral,Ashley,1
INT310712,US00015891,SMS,Happy,,1
INT310713,US00015891,Self-Service,Happy,,2
INT310714,US00015891,Self-Service,Unhappy,,2
INT310715,US00015891,Case,Unhappy,Javier,2
INT310716,US00015891,Case,Unhappy,Javier,2
INT310717,US00015891,IVR,Very Happy,,3
INT310718,US00015891,IVR,Happy,,3
INT310719,US00015891,IVR,Happy,,3
INT310720,US00015892,Phone,Unhappy,Kate,2
INT310721,US00015892,Phone,Very Unhappy,Javier,2
INT310722,US00015892,Email,Very Happy,Javier,2
INT310723,US00015892,Email,Very Happy,Javier,2
INT310724,US00015892,SMS,Very Happy,,2
INT310725,US00015892,SMS,Unhappy,,2
INT310726,US00015892,Self-Service,Neutral,,3
INT310727,US00015892,Self-Service,Neutral,,3
INT310728,US00015892,Self-Service,Very Unhappy,,3
INT310729,US00015892,Case,Very Unhappy,Javier,1
INT310730,US00015892,IVR,Very Happy,,1
INT310731,US00015893,Phone,Neutral,Kate,2
INT310732,US00015893,Phone,Unhappy,Kate,2
INT310733,US00015893,Email,Very Happy,Kate,3
INT310734,US00015893,Email,Happy,Javier,3
INT310735,US00015893,Email,Happy,Ashley,3
INT310736,US00015893,SMS,Very Happy,,1
INT310737,US00015893,Self-Service,Very Happy,,3
INT310738,US00015893,Self-Service,Happy,,3
INT310739,US00015893,Self-Service,Very Unhappy,,3
INT310740,US00015893,Case,Happy,Ashley,1
INT310741,US00015893,IVR,Happy,,3
INT310742,US00015893,IVR,Very Unhappy,,3
INT310743,US00015893,IVR,Neutral,,3
INT310744,US00015894,Phone,Neutral,Ashley,1
INT310745,US00015894,Email,Happy,Ashley,3
INT310746,US00015894,Email,Very Unhappy,Javier,3
INT310747,US00015894,Email,Happy,Kate,3
INT310748,US00015894,SMS,Unhappy,,3
INT310749,US00015894,SMS,Happy,,3
INT310750,US00015894,SMS,Happy,,3
INT310751,US00015894,Self-Service,Happy,,1
INT310752,US00015894,Case,Very Unhappy,Javier,3
INT310753,US00015894,Case,Happy,Javier,3
INT310754,US00015894,Case,Neutral,Javier,3
INT310755,US00015894,IVR,Happy,,2
INT310756,US00015894,IVR,Very Happy,,2
INT310757,US00015895,Phone,Neutral,Ashley,1
INT310758,US00015895,Email,Happy,Javier,1
INT310759,US00015895,SMS,Happy,,1
INT310760,US00015895,Self-Service,Happy,,3
INT310761,US00015895,Self-Service,Neutral,,3
INT310762,US00015895,Self-Service,Very Unhappy,,3
INT310763,US00015895,Case,Neutral,Javier,2
INT310764,US00015895,Case,Unhappy,Ashley,2
INT310765,US00015895,IVR,Very Happy,,1
INT310766,US00015896,Phone,Happy,Ashley,3
INT310767,US00015896,Phone,Happy,Kate,3
INT310768,US00015896,Phone,Neutral,Javier,3
INT310769,US00015896,Email,Happy,Kate,1
INT310770,US00015896,SMS,Happy,,1
INT310771,US00015896,Self-Service,Neutral,,3
INT310772,US00015896,Self-Service,Happy,,3
INT310773,US00015896,Self-Service,Neutral,,3
INT310774,US00015896,Case,Neutral,Kate,2
INT310775,US00015896,Case,Neutral,Ashley,2
INT310776,US00015896,IVR,Very Happy,,3
INT310777,US00015896,IVR,Neutral,,3
INT310778,US00015896,IVR,Very Happy,,3
INT310779,US00015897,Phone,Neutral,Javier,3
INT310780,US00015897,Phone,Very Happy,Ashley,3
INT310781,US00015897,Phone,Unhappy,Ashley,3
INT310782,US00015897,Email,Neutral,Ashley,3
INT310783,US00015897,Email,Very Happy,Javier,3
INT310784,US00015897,Email,Neutral,Javier,3
INT310785,US00015897,SMS,Neutral,,1
INT310786,US00015897,Self-Service,Very Unhappy,,3
INT310787,US00015897,Self-Service,Neutral,,3
INT310788,US00015897,Self-Service,Happy,,3
INT310789,US00015897,Case,Happy,Ashley,3
INT310790,US00015897,Case,Happy,Ashley,3
INT310791,US00015897,Case,Unhappy,Ashley,3
INT310792,US00015897,IVR,Neutral,,1
INT310793,US00015898,Phone,Happy,Kate,3
INT310794,US00015898,Phone,Very Happy,Kate,3
INT310795,US00015898,Phone,Unhappy,Kate,3
INT310796,US00015898,Email,Neutral,Javier,1
INT310797,US00015898,SMS,Happy,,2
INT310798,US00015898,SMS,Very Happy,,2
INT310799,US00015898,Self-Service,Neutral,,2
INT310800,US00015898,Self-Service,Very Happy,,2
INT310801,US00015898,Case,Happy,Kate,2
INT310802,US00015898,Case,Neutral,Javier,2
INT310803,US00015898,IVR,Unhappy,,3
INT310804,US00015898,IVR,Neutral,,3
INT310805,US00015898,IVR,Neutral,,3
INT310806,US00015899,Phone,Happy,Javier,2
INT310807,US00015899,Phone,Very Unhappy,Ashley,2
INT310808,US00015899,Email,Happy,Kate,3
INT310809,US00015899,Email,Neutral,Javier,3
INT310810,US00015899,Email,Happy,Kate,3
INT310811,US00015899,SMS,Happy,,3
INT310812,US00015899,SMS,Neutral,,3
INT310813,US00015899,SMS,Unhappy,,3
INT310814,US00015899,Self-Service,Very Happy,,2
INT310815,US00015899,Self-Service,Very Happy,,2
INT310816,US00015899,Case,Happy,Javier,3
INT310817,US00015899,Case,Very Happy,Kate,3
INT310818,US00015899,Case,Happy,Ashley,3
INT310819,US00015899,IVR,Happy,,2
INT310820,US00015899,IVR,Neutral,,2
INT310821,US00015900,Phone,Very Happy,Kate,2
INT310822,US00015900,Phone,Happy,Javier,2
INT310823,US00015900,Email,Happy,Ashley,3
INT310824,US00015900,Email,Very Happy,Kate,3
INT310825,US00015900,Email,Very Happy,Ashley,3
INT310826,US00015900,SMS,Happy,,1
INT310827,US00015900,Self-Service,Very Happy,,3
INT310828,US00015900,Self-Service,Very Unhappy,,3
INT310829,US00015900,Self-Service,Very Happy,,3
INT310830,US00015900,Case,Happy,Ashley,2
INT310831,US00015900,Case,Unhappy,Ashley,2
INT310832,US00015900,IVR,Very Unhappy,,1
INT310833,US00015901,Phone,Happy,Ashley,2
INT310834,US00015901,Phone,Neutral,Ashley,2
INT310835,US00015901,Email,Neutral,Ashley,1
INT310836,US00015901,SMS,Neutral,,2
INT310837,US00015901,SMS,Very Unhappy,,2
INT310838,US00015901,Self-Service,Unhappy,,3
INT310839,US00015901,Self-Service,Happy,,3
INT310840,US00015901,Self-Service,Neutral,,3
INT310841,US00015901,Case,Very Happy,Ashley,1
INT310842,US00015901,IVR,Very Happy,,3
INT310843,US00015901,IVR,Very Happy,,3
INT310844,US00015901,IVR,Neutral,,3
INT310845,US00015902,Phone,Unhappy,Ashley,2
INT310846,US00015902,Phone,Happy,Kate,2
INT310847,US00015902,Email,Happy,Ashley,1
INT310848,US00015902,SMS,Very Happy,,1
INT310849,US00015902,Self-Service,Very Happy,,2
INT310850,US00015902,Self-Service,Happy,,2
INT310851,US00015902,Case,Happy,Kate,3
